,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
2005-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.04343362720922313,0.044976301607907394,0.045986373741606065,0.0,0.0,0.0,0.03796045488940609,0.0,0.0,0.03480152925657464,0.03480062718011763,0.0,0.0,0.06309191574702414,0.0333768167617441,0.0,0.028841345467922802,0.0,0.0,0.0,0.0,0.028307514787660006,0.029315750807471053,0.05787367188821052,0.0,0.0,0.0,0.0,0.031098731066832374,0.03123900566707436,0.0,0.0,0.0,0.0,0.0,0.04852179747536263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05144954229568286,0.046844407058375316,0.09270971692677539,0.0,0.10037087724087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04336559904669408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765764922117207,0.04397674465628612,0.0,0.0,0.0,0.0,0.0,0.0
