,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
2005-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.04093813103545644,0.035384489808118896,0.05643056997403183,0.0,0.0,0.0,0.020991988016759607,0.0,0.0,0.010102748761006673,0.0,0.0,0.0,0.11398246428308903,0.02250712555707439,0.0,7.654499722108489e-17,0.0,0.0,0.0,0.0,1.345119655588096e-19,0.02481932471139381,0.12284820562543634,0.0,0.0,0.0,0.0,0.0,3.849552911051726e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546334207283777,1.3824362102702621e-16,0.19541977017676274,0.0,0.21767386523762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343007905971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192965492745878e-17,0.0400078956806883,0.0,0.0,0.0,0.0,0.0,0.0
