ticker,model,dist,aic,bic,ll,converged,n_obs,lb10_z2_p,jb_p,mu,omega,alpha,beta,gamma,persistence
IBRX50,"GJR-GARCH(1,1)",normal,18227.81037087903,18260.567377692758,-9108.905185439515,True,5174,0.5214642311759057,6.448323157307519e-127,0.04074943374595216,0.049929332283306996,0.0296290771947506,0.9108878316901353,0.07361809817641847,0.9773259579730952
IBOV,"GJR-GARCH(1,1)",normal,18328.524374446395,18361.281381260123,-9159.262187223198,True,5174,0.5121174409692156,2.865915891759509e-128,0.033573171586076665,0.05298989615386667,0.025456015291227183,0.9095988345587359,0.08283407905690536,0.9764718893784158
EWZ,"GJR-GARCH(1,1)",normal,21980.000143896086,22012.757150709815,-10985.000071948043,True,5174,0.9952801790360974,0.0,0.01209919054141999,0.1078930841945665,0.028636909792098958,0.9053221561237906,0.08519920868208007,0.9765586702569297
GLD,"GJR-GARCH(1,1)",normal,15179.602947129453,15212.359953943183,-7584.801473564727,True,5174,0.5520648959441459,0.0,0.02551326134685372,0.014889711376714394,0.05766783930836627,0.9321245563106083,1.614957018685755e-12,0.989792395619782
SPY,"GJR-GARCH(1,1)",normal,13676.47895258652,13709.23595940025,-6833.23947629326,True,5174,0.5225297456723039,0.0,0.04253805234067157,0.03046443408917283,0.0005854218630011661,0.8618954142975653,0.2160773722206169,0.9705195222708749
