,mean,std,skewness,kurtosis,min,q01,q05,median,q95,q99,max,annual_return,annual_volatility,risk_free_rate,sharpe_ratio,jb_statistic,jb_pvalue,is_normal
^BVSP,6.849217579071637e-05,0.007616778124987701,-2.9665514110383757,101.51412117096132,-0.159930265676043,-0.02276625048456615,-0.00862031871872329,0.0,0.009870295518137156,0.021807919353344127,0.1302228102427078,0.017260028299260526,0.12091260426164582,0.10033284241531665,-0.6870484233082331,2763412.2846679674,0.0,False
EWZ,3.140614427389921e-05,0.01146096551903959,-2.938575695224707,85.35785808708246,-0.2625703360005495,-0.035198972502928694,-0.01346222503535302,0.0,0.014897420131782326,0.033977903789462034,0.16231691158924433,0.0079143483570226,0.1819371872883904,0.10033284241531665,-0.5079692361727051,1956374.1982688447,0.0,False
GLD,0.00017170741259690844,0.005699851461158247,-1.3701506000861254,39.747111102125054,-0.10841233744964714,-0.0189962247907581,-0.006487866729137339,0.0,0.008414859351434217,0.018816916713639793,0.061647351472448514,0.04327026797442093,0.09048233685739712,0.10033284241531665,-0.6306487699453215,424199.9089722718,0.0,False
SPY,0.00014166766745539144,0.006430404441379864,-0.9087213924212881,63.14253390389727,-0.11588656005464254,-0.02032571630160121,-0.006631997169376081,0.0,0.008400670874826823,0.018911098597214192,0.09986289644408139,0.03570025219875864,0.10207950588873806,0.10033284241531665,-0.6331593168858453,1066373.4779393042,0.0,False
