,Equal Weight
2005-11-24,0.004349783546890515
2005-11-25,0.0008375108309067903
2005-11-28,-0.01705620963804193
2005-11-29,0.00852231883582194
2005-11-30,0.010536966008310385
2005-12-01,0.018546962112200423
2005-12-02,0.003922883735322993
2005-12-05,-0.004944783426190361
2005-12-06,0.017762019999605683
2005-12-07,-0.01664617685983886
2005-12-08,-0.01285284768471097
2005-12-09,0.00998973039820815
2005-12-12,0.0031231033025435053
2005-12-13,0.011474753357402914
2005-12-14,0.008449986593298842
2005-12-15,-0.006786544060440759
2005-12-16,0.010109288205794632
2005-12-19,-0.009460940407173254
2005-12-20,0.004629864153560182
2005-12-21,0.015128635421331117
2005-12-22,0.0030035295261733866
2005-12-23,-0.006168062224583373
2005-12-26,-0.0014068559309230186
2005-12-27,0.002611895926560701
2005-12-28,-0.0065096972751057065
2005-12-29,0.008515899237027854
2006-01-02,-0.006451563385272724
2006-01-03,0.03220582781949875
2006-01-04,0.01587106564166401
2006-01-05,-0.004272124457221654
2006-01-06,0.013841199678592991
2006-01-09,0.0013588834992402392
2006-01-10,-0.0069912234341304195
2006-01-11,0.02588342670338625
2006-01-12,0.00140957050069154
2006-01-13,0.01082349249481137
2006-01-16,0.02529948211009141
2006-01-17,-0.0072039477022822805
2006-01-18,-0.010076181447344937
2006-01-19,0.034872680153916966
2006-01-20,-0.006855627499134334
2006-01-23,-0.004421146939496316
2006-01-24,0.020832815847576437
2006-01-26,0.01717093137007905
2006-01-27,-0.005761617099574341
2006-01-30,0.012247859616201269
2006-01-31,0.0020671011020722448
2006-02-01,0.010377453356513848
2006-02-02,-0.03203991891966894
2006-02-03,0.0024079987203884682
2006-02-06,0.0011885033844706888
2006-02-07,-0.022515416309843158
2006-02-08,-0.0049912752592547955
2006-02-09,0.010717749063786782
2006-02-10,0.010093138088876137
2006-02-13,-0.020693063371895845
2006-02-14,0.009095025594816843
2006-02-15,0.017078551373156656
2006-02-16,0.02270554918361115
2006-02-17,0.0041195953850719875
2006-02-20,0.006722774783015891
2006-02-21,-0.011718944318544814
2006-02-22,0.0031920040999358513
2006-02-23,0.0009088715366465136
2006-02-24,0.006905736062633958
2006-03-01,0.01826732764177664
2006-03-02,-0.00071064337024148
2006-03-03,0.0026846150533539827
2006-03-06,-0.019592688106260556
2006-03-07,-0.02419208492665329
2006-03-08,-0.0048126333444319025
2006-03-09,-0.020016081926763955
2006-03-10,0.017553851821995616
2006-03-13,-0.0023640090275026554
2006-03-14,0.01781798673587823
2006-03-15,0.016605579459444627
2006-03-16,0.0005810558345617672
2006-03-17,0.0036644719698350984
2006-03-20,0.004296712802367788
2006-03-21,-0.01873506625050398
2006-03-22,0.01543279665106967
2006-03-23,-0.010628802490976953
2006-03-24,0.0001111803250654669
2006-03-27,-0.002705663350281531
2006-03-28,-0.025674373143026095
2006-03-29,0.018511203000225736
2006-03-30,-0.00022888261336761323
2006-03-31,0.006201057932909838
2006-04-03,0.019035177112248673
2006-04-04,0.0017958241556912365
2006-04-05,0.004543111027337081
2006-04-06,0.010589006847896223
2006-04-07,-0.0033422039617882707
2006-04-10,-0.016446360984034993
2006-04-11,-0.012805960483702018
2006-04-12,0.012666992752254743
2006-04-13,-0.01115222317188406
2006-04-17,-7.513803658643265e-05
2006-04-18,0.02801447458908933
2006-04-19,0.010819549733743352
2006-04-20,-0.000439137717949299
2006-04-24,-0.00015912454384383018
2006-04-25,0.002867339390887394
2006-04-26,0.01650182883011501
2006-04-27,-0.021082511504952255
2006-04-28,0.013664182445703252
2006-05-02,0.015224526330301462
2006-05-03,-0.006427160105027072
2006-05-04,0.0036398423818387597
2006-05-05,0.010834509369718947
2006-05-08,0.01525766592523196
