,0,1,2,3,4
2005-12-05,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-06,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-07,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-08,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-09,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-12,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-13,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-14,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-15,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-16,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-19,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-20,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-21,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-22,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-23,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-27,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-28,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2005-12-29,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2006-01-03,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2006-01-04,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2006-01-05,0.09192031165494861,0.1402641393406835,5.909995650105117e-18,0.4000081339511943,0.3678074150531737
2006-01-06,0.09368032219176628,0.16017010568670484,5.638462247498513e-17,0.34064436997243025,0.40550520214909863
