estrategia,annual_return,annual_vol,sharpe,sortino,max_drawdown,calmar,hist_var_99,hist_es_99,kupiec_p_99,cc_p_99,var_adequate_99,avg_turnover,n_obs
Minimum Variance,0.1364,0.1468,0.1899,0.2657,-0.259699,0.5253,0.023486,0.035791,0.0,0.0,False,0.002569,4922
Maximum Diversification,0.1318,0.1467,0.1589,0.2211,-0.254156,0.5187,0.023541,0.03559,0.0001,0.0,False,0.001538,4922
Maximum Decorrelation,0.1302,0.1493,0.1449,0.2015,-0.285002,0.4567,0.024291,0.036003,0.0075,0.0,False,0.001403,4922
Risk Parity,0.1197,0.1614,0.0694,0.0962,-0.347657,0.3443,0.026306,0.039397,0.001,0.0,False,0.000624,4922
Equal Weight,0.1037,0.1911,-0.0252,-0.0347,-0.469267,0.221,0.029182,0.048107,0.0,0.0,False,0.0,4922
