,Equal Weight,Minimum Variance,Risk Parity,Maximum Diversification,Maximum Decorrelation
Equal Weight,1.0,0.2202,0.2972,0.2099,0.1503
Minimum Variance,0.2202,1.0,0.1997,0.5382,0.5919
Risk Parity,0.2972,0.1997,1.0,0.1664,0.1555
Maximum Diversification,0.2099,0.5382,0.1664,1.0,0.7355
Maximum Decorrelation,0.1503,0.5919,0.1555,0.7355,1.0
