,annual_return,annual_vol,sharpe,sortino,max_drawdown,calmar,omega,hist_var_99,hist_es_99,avg_turnover,sspw,skewness,excess_kurtosis,n_obs
Equal Weight,0.1037,0.1911,-0.0252,-0.0347,-0.4693,0.221,1.0081,0.0292,0.0481,0.0,0.2,-0.4028,9.5144,4922.0
Minimum Variance,0.1364,0.1468,0.1899,0.2657,-0.2597,0.5253,1.0376,0.0235,0.0358,0.0026,0.358846,-0.4032,10.8516,4922.0
Risk Parity,0.1197,0.1614,0.0694,0.0962,-0.3477,0.3443,1.0197,0.0263,0.0394,0.0006,0.228007,-0.3481,7.9035,4922.0
Maximum Diversification,0.1318,0.1467,0.1589,0.2211,-0.2542,0.5187,1.0322,0.0235,0.0356,0.0015,0.317354,-0.3846,8.4655,4922.0
Maximum Decorrelation,0.1302,0.1493,0.1449,0.2015,-0.285,0.4567,1.0301,0.0243,0.036,0.0014,0.305362,-0.3556,7.7028,4922.0
