,0,1,2,3,4
2005-12-05,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-06,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-07,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-08,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-09,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-12,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-13,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-14,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-15,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-16,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-19,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-20,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-21,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-22,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-23,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-27,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-28,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2005-12-29,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2006-01-03,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2006-01-04,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2006-01-05,0.022759553288055345,0.4099743709762696,0.0,0.36940740526722254,0.19785867046845257
2006-01-06,0.0021618250416006175,0.43545027959312904,2.3886762824509516e-17,0.36905183271879904,0.19333606264647132
2006-01-09,0.0021618250416006175,0.43545027959312904,2.3886762824509516e-17,0.36905183271879904,0.19333606264647132
2006-01-10,0.0021618250416006175,0.43545027959312904,2.3886762824509516e-17,0.36905183271879904,0.19333606264647132
2006-01-11,0.0021618250416006175,0.43545027959312904,2.3886762824509516e-17,0.36905183271879904,0.19333606264647132
2006-01-12,0.0021618250416006175,0.43545027959312904,2.3886762824509516e-17,0.36905183271879904,0.19333606264647132
